"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Kmn2",-0.0820759736243283,2.01946667815166,-0.599367536790173,0.558251280051394,0.712183953455821,-6.73973682096914
"Rab9Fb",-0.0757281209590221,1.50505706616667,-0.599288710436764,0.558302409735374,0.712189564272796,-6.62037868628944
"RpL38",0.133789734207495,6.233687927091,0.602278704692699,0.558476795968074,0.7123523912415,-7.27929183128252
"COX4",-0.0685242752430635,9.84761096666969,-0.59882365343,0.558604114177864,0.712455159433479,-7.18101090456571
"nau",0.0596681441490379,2.16066251610305,0.598455967176276,0.558842711687934,0.7126998264539,-6.77881864119795
"CG14259",0.0625770542243942,4.18065218146182,0.598205042938824,0.559005571909635,0.71284787180176,-7.1516370484533
"eIF3g1",-0.0709721013534216,7.03739796677834,-0.59796940773615,0.559256779128192,0.71302418028622,-7.28178834118107
"CG42577",-0.186763339157587,-1.54454370140081,-0.597778885170211,0.559282224406341,0.71302418028622,-5.85629101943402
"CG18268",0.0498283453988635,4.04091911582428,0.597775858209648,0.559284189707446,0.71302418028622,-7.13692684566947
"Jhbp14",-0.0928315064115331,5.53764383525703,-0.598562881883059,0.55957742263798,0.713338345546033,-7.2597976855455
"Sfp33A1",0.104917032824843,2.77350732915994,0.59731282002102,0.559767513856939,0.713470609421939,-6.92274477450558
"lncRNA:CR45246",-0.123772381360311,0.143673360184398,-0.597020385363599,0.55977480819279,0.713470609421939,-6.26487188658729
"asRNA:CR46485",-0.0873281153202561,3.80639712308402,-0.596516211983095,0.56028589289233,0.714062302030366,-7.10676704771049
"lncRNA:CR43928",-0.188471645079689,-1.72911841225063,-0.596084764852804,0.560382738185152,0.714126008022554,-5.79328713213284
"dwg",0.0862477061494362,2.43667770497752,0.595550958155924,0.560729743727612,0.714508469432174,-6.84889450365794
"ppk29",-0.259411934912172,-0.378904290959672,-0.595680537397603,0.560903148796991,0.714669675417285,-6.08006656765743
"ord",0.0501767583975057,4.29926644597617,0.595207795633213,0.560952880236289,0.714673289985039,-7.16916838390533
"CG13917",0.0450134647395214,7.2309484856435,0.594983833331324,0.561098534170528,0.714746268571253,-7.27953702316791
