"","logFC","AveExpr","t","P.Value","adj.P.Val","B","geneid"
"CG4360",-0.107252812664126,5.30335196611111,-1.51563487620678,0.151659142073359,0.270864329684518,-6.30268078914134,"CG4360"
"Dbp45A",-0.108810131573147,3.29154551464686,-1.51539325208599,0.151719756165747,0.270940834774546,-6.05355589562156,"Dbp45A"
"CG7006",0.207022710820137,2.17800092677032,1.51497592016753,0.151824496666385,0.271096113555443,-5.82327364212952,"CG7006"
"Stalker4{}2413",0.687036453950841,-2.19537892149054,1.51459668520892,0.15191972864221,0.27122301556472,-4.78645645744291,"Stalker4{}2413"
"CG10063",0.108097620860092,5.60676365052081,1.51455117505043,0.151931160359319,0.27122301556472,-6.32758109140332,"CG10063"
"CG31156",0.152911420713466,3.06724598718321,1.51420703393337,0.152017628821829,0.271345591853441,-6.02003780500926,"CG31156"
"lncRNA:CR44917",0.324678107990217,-0.831533546096385,1.51379598048205,0.152120964010463,0.271498242360869,-5.03186900736236,"lncRNA:CR44917"
"Cht12",-0.107018417142288,6.37688375195561,-1.51351115575245,0.152192601175099,0.271571699428533,-6.34765582133719,"Cht12"
"F{}5373",-0.218980649088096,0.209346166783413,-1.51349064311742,0.15219776147107,0.271571699428533,-5.28448536917206,"F{}5373"
"lncRNA:CR45741",-0.387555685556942,-0.479250004486987,-1.51298613690665,0.152324724904402,0.271766425607947,-5.15111752261006,"lncRNA:CR45741"
"mrt",-0.128405621561197,5.60412893148799,-1.51274247643265,0.152386076199232,0.271844059613285,-6.32345729065262,"mrt"
"Kat60",0.0858298802088351,4.99264986606326,1.51241307421416,0.152469049552116,0.27196024288088,-6.28568844973848,"Kat60"
"CG12826",-0.242840684261124,0.418816239881646,-1.51213062824392,0.152540225406262,0.272055358126558,-5.3404794974402,"CG12826"
"CG3594",0.200523285565654,1.67621884800073,1.51199938567702,0.152573307821854,0.272082519448287,-5.68648023551482,"CG3594"
"CG10904",-0.157311621464867,2.36742388574719,-1.5116831584865,0.152653044311433,0.272192862443693,-5.86899053972531,"CG10904"
"CG7702",-0.109674945132171,4.1610929818714,-1.51160150384123,0.152673639187476,0.27219773762484,-6.19768631367473,"CG7702"
"CG33137",-0.594858921303714,-0.911629478236412,-1.51098060000383,0.152830319771402,0.272424083592957,-4.99244274780818,"CG33137"
"CG15710",-0.189532051103903,1.01866972273942,-1.51095672916467,0.152836346110222,0.272424083592957,-5.52316953530423,"CG15710"
"CG8539",0.1338700594465,3.29702897037527,1.510029569623,0.153070568259673,0.272809666738091,-6.05791172558441,"CG8539"
"297{}263",-0.637852605065154,-1.26138722990012,-1.51113123050615,0.15313186662232,0.272887002727333,-4.98468635398243,"297{}263"
"CG31145",0.0762377281193875,6.36674451247171,1.5095432259694,0.15319355097585,0.272965008403127,-6.35298193511285,"CG31145"
"Pgant9",0.0870571791087331,5.95018682850417,1.50935979969071,0.153239955980739,0.273015773807161,-6.34608434179813,"Pgant9"
"GLaz",0.119815616534454,4.06604075008313,1.50883269186689,0.153373374914656,0.273217166192915,-6.19803035278925,"GLaz"
"gcm",0.20538423490173,0.31243726020086,1.50877157835822,0.153388849996495,0.273217166192915,-5.336727764224,"gcm"
"nanos",0.181948917299707,1.66853747258406,1.50867404339345,0.153413550397335,0.273229228474394,-5.69978703489802,"nanos"
"SCCRO3",-0.104900927411587,6.65862631645211,-1.50804885555215,0.153571956729891,0.273479390110252,-6.35547595287428,"SCCRO3"
"CG46311",-4.34403155914682,-0.961868570790459,-1.55535422047953,0.153632018740981,0.273554383177071,-5.00633272403536,"CG46311"
"CG43165",0.31217586933973,-0.115502601661153,1.50685139932658,0.153875745801491,0.273956351169944,-5.23568589972576,"CG43165"
